software,12
customer,9
model,7
interface,5
scanner,5
analysis,4
time,4
documentation,4
specification,3
risk,3
cost,3
increment,3
class,2
need,2
requirement,2
behaviour,2
system,2
constraint,2
development,2
detail,2
answer,2
error,2
cement,2
processing,2
feedback,2
iteration,2
quality,2
lind,1
problem,1
domain,1
implementation,1
defence,1
party,1
document,1
output,1
core,1
design,1
representation,1
information,1
function,1
architecture,1
level,1
action,1
agile,1
interaction,1
basis,1
week,1
scale,1
check,1
gucci,1
banking,1
mental,1
waterfall,1
discovering,1
identification,1
business,1
planning,1
communication,1
engineering,1
project,1
point,1
evaluation,1
construction,1
iterative,1
dover,1
release,1
mode,1
feat,1
factor,1
threat,1
completion,1
change,1
govt,1
predictability,1
technology,1
word,1
wood,1
font,1
module,1
gating,1
developing,1
combination,1
case,1
improvement,1
advance,1
listen,1
build,1
rise,1
test,1
liberty,1
process,1
analyst,1
number,1
prototyping,1
hang,1
land,1
