waterfall model,[9]
feasibility study,[9]
marketing documentation,[98]
direct diver doct coordinate module,"[94, 129]"
structure chart,"[92, 93]"
function cohesion,[80]
development life cycle ( sdlc ),[7]
n jornt application design ( jad ),[75]
life cycle model,[6]
requirement specification ( srs ),"[64, 77]"
risk acceptance,[55]
evaluation review technique ( pert ),[51]
actual time,[47]
available time,[47]
earliest start time,[47]
putnam estimation model,[41]
delphi method,[41]
computer assisted software systern engineering ( cas ),[35]
min calculate unadjusted function points,[35]
point analysis,[34]
point count,[34]
construction techniques,[314]
intelligent case tools,[308]
belady and lehman model,[292]
boehm ' s model,[292]
full reuse model,[290]
taute ' s maintenance model,[290]
terative enhancement model,[290]
yau and collofello ' s model,[290]
cost of software maintenance,[288]
quality assurance ( sqa ),[271]
capability maturity model ( cmm ),"[271, 272]"
basic cxecution time model,[268]
calendar time,[267]
execution time,[267]
halstead ' s software science metrics,[256]
product metrics,[255]
bochm ' s software quality model,[252]
mccabe ' s cyclomatic comple mccall ' s model,[251]
gineering quality,[249]
version control,[245]
centennion control board ( ccb ),[243]
public domain software,[23]
shareware software,[23]
computer aided software testing tools,[233]
artificial intelligence software,[22]
corresercial software,[22]
embedded software,[22]
networking and web applications software,[22]
scientific software,[22]
cyclomatic complexity,[220]
multiple condition coverage,[215]
logarithmic poisson execution time model,[209]
v validation,[206]
dotted - u model,[204]
time box,[19]
application development ( rad ) model,[19]
communication systems,[199]
meta model,[18]
model generator,[18]
the rapid application the spiral model,[17]
evolutionary software process model,[16]
ntal software development life cycle the incremental softwa model,[16]
rational unified process,[161]
facilitated application specification technique,[15]
sequence diagram,[158]
evolutionary prototyping,[14]
rapid throwaway prototyping,[14]
unified modelling language ( uml ),[147]
the prototype model,[13]
object oriented requirement analysis,[139]
the v - model,[12]
action stubs,[124]
design language,[122]
time - value of money ( tvm ),[10]
per po it standard,[1070]
relationship model,[104]
